course,skills,rating,level,certificatetype,duration,prerequisites,skill_level_required
Applied Software Engineering Fundamentals,"{"" Python Programming"","" Computer Programming"","" Software Engineering"","" Application Development"","" Programming Principles"","" Software Architecture"","" Software Engineering Tools"","" Agile Software Development"","" Communication"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Leadership and Management"","" Linux"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,Beginner,Specialization,3 - 6 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
Machine Learning and Reinforcement Learning in Finance,"{"" Machine Learning"","" Human Learning"","" Machine Learning Algorithms"","" Algorithms"","" Finance"","" Mathematics"","" Regression"","" Statistical Machine Learning"","" Applied Machine Learning"","" Artificial Neural Networks"","" Deep Learning"","" Reinforcement Learning"","" Tensorflow""}",3.7,Intermediate,Specialization,3 - 6 Months,Linear Algebra|Python Programming|Calculus Fundamentals,intermediate
IT Security: Defense against the digital dark arts,"{"" Cryptography"","" Network Security"","" System Security""}",4.8,Beginner,Course,1 - 3 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
Introduction to Cyber Security,"{"" Security Engineering"","" Cyberattacks"","" Network Security"","" System Security"","" Security Strategy"","" Computer Networking"","" Security Software"","" Computer Security Models"","" Network Architecture"","" Strategy"","" Cryptography"","" Problem Solving"","" Software Security"","" Algorithms"","" Computer Security Incident Management"","" Critical Thinking"","" Operational Analysis"","" Computational Thinking"","" BlockChain"","" Cloud Computing"","" Mobile Security""}",4.7,Beginner,Specialization,3 - 6 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
Customer Experiences with Contact Center AI - Dialogflow ES,"{"" Machine Learning"","" Natural Language Processing"","" Human Computer Interaction"","" Interactive Design"","" User Experience"","" Cloud-Based Integration"","" Applied Machine Learning"","" Design and Product"","" User Experience Design"","" Strategy and Operations"","" Application Development"","" Google Cloud Platform"","" Computer Programming"","" Software Architecture"","" Search Engine Optimization"","" Customer Relationship Management"","" Computer Architecture"","" Computer Programming Tools"","" Customer Success"","" Data Management"","" Operations Management""}",4.5,Intermediate,Specialization,3 - 6 Months,Linear Algebra|Python Programming|Calculus Fundamentals,intermediate
How Things Work: An Introduction to Physics,"{"" Critical Thinking"","" Experiment"","" Problem Solving"","" Angular"","" Mathematical Theory & Analysis"","" Scientific Visualization"","" Deep Learning"","" Feature Engineering"","" Reinforcement Learning""}",4.8,Intermediate,Course,1 - 3 Months,Linear Algebra|Python Programming|Calculus Fundamentals,intermediate
Agile with Atlassian Jira,"{"" Agile Software Development"","" Leadership and Management"","" Planning"","" Product Development"","" Product Management"","" Project Management"","" Scrum (Software Development)"","" Software Engineering"","" Software Testing"","" Technical Product Management"","" Jira (Software)""}",4.7,Beginner,Course,1 - 4 Weeks,Programming Fundamentals|Version Control|Algorithms,beginner
Databases and SQL for Data Science with Python,"{"" Python Programming"","" Computational Thinking"","" Computer Programming"","" Data Analysis"","" Data Management"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Cloud Computing"","" IBM Cloud""}",4.6,Beginner,Course,1 - 3 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
Reporting extra-financier et stratégie RSE,"{"" Strategy"","" Audit"","" Strategy and Operations"","" Change Management"","" Communication"","" Finance"","" Leadership and Management"","" Regulations and Compliance""}",4.7,Beginner,Course,1 - 4 Weeks,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,beginner
High Stakes Leadership: Leading in Times of Crisis,"{"" Leadership and Management"","" Leadership Development"","" Entrepreneurship"","" Business Psychology"","" Finance"","" Human Resources"","" Human Resources Operations"","" Organizational Development"","" Risk Management"","" Communication"","" Change Management""}",4.7,Intermediate,Course,1 - 4 Weeks,Basic Arithmetic|Excel Fundamentals|Introductory Financial Concepts,intermediate
SAS Advanced Programmer,"{"" SAS (Software)"","" Statistical Programming"","" SQL"","" Databases"","" Computer Programming"","" Data Analysis"","" Data Management""}",4.8,Intermediate,Professional Certificate,3 - 6 Months,Relational Database Concepts|Basic SQL Queries|Data Types,intermediate
Marketing with TikTok,"{"" Marketing"","" Social Media"","" Digital Marketing"","" Media Strategy & Planning"","" Advertising Sales"","" Media Production"","" E-Commerce"","" Sales"","" Strategy"","" Market Analysis""}",4.7,Beginner,Specialization,1 - 3 Months,Digital Communication Basics|Consumer Behavior|Content Creation,beginner
Meta Database Engineer,"{"" SQL"","" Databases"","" Statistical Programming"","" Python Programming"","" Database Design"","" Programming Principles"","" Algorithms"","" Computer Science"","" Big Data"","" Software Testing"","" Application Development"","" Collaboration"","" Communication"","" Computer Programming"","" Data Analysis"","" Data Management"","" Data Model"","" Data Structures"","" Data Warehousing"","" Database Administration"","" Database Application"","" Database Theory"","" Django (Web Framework)"","" Javascript"","" Linux"","" Problem Solving"","" Project Management"","" Software Engineering"","" Software Engineering Tools"","" Tableau Software"","" Tensorflow"","" Web Development""}",4.6,Beginner,Professional Certificate,3 - 6 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,beginner
Preparing for Google Cloud Certification: Machine Learning Engineer,"{"" Machine Learning"","" Google Cloud Platform"","" Applied Machine Learning"","" Cloud Computing"","" Human Learning"","" Machine Learning Software"","" Cloud Platforms"","" Machine Learning Algorithms"","" Tensorflow"","" Deep Learning"","" Feature Engineering"","" Artificial Neural Networks"","" Training"","" DevOps"","" Exploratory Data Analysis"","" Python Programming"","" Cloud-Based Integration"","" Data Analysis"","" Data Visualization"","" Big Data"","" Probability & Statistics"","" Regression"","" Statistical Programming"","" Statistical Visualization"","" Algorithms"","" Continuous Integration"","" SQL"","" Cloud API"","" Apache"","" Extract"","" Transform"","" Load"","" Docker (Software)""}",4.6,Intermediate,Professional Certificate,3 - 6 Months,Basic Python Syntax|Introductory Statistics|NumPy Basics,intermediate
Fundamentals of Project Planning and Management,"{"" Project Management"","" Strategy and Operations"","" Leadership and Management"","" Planning""}",4.7,Beginner,Course,1 - 4 Weeks,Basic Organizational Principles|Communication Skills|Time Management,beginner
Real-World Cloud Product Management,"{"" Security Engineering"","" Cloud Computing"","" Business"","" Product Management""}",4.7,Beginner,Specialization,1 - 3 Months,Basic Networking Concepts|TCP/IP Fundamentals|Operating Systems,beginner
